time,mon_in,mon_out,tue_in,tue_out,wed_in,wed_out,thu_in,thu_out,fri_in,fri_out,sat_in,sat_out,sun_in,sun_out,week_num
00:00,0,0,313,727,55,113,109,113,94,90,115,121,185,133,1
01:00,0,0,286,481,40,62,34,62,23,79,102,131,130,110,1
02:00,0,0,160,411,14,28,17,32,43,74,76,140,94,164,1
03:00,0,0,200,695,6,31,45,37,14,60,53,110,21,133,1
04:00,0,0,72,286,4,2,12,7,1,4,3,13,22,34,1
05:00,0,0,43,40,50,16,79,31,32,21,34,23,29,33,1
06:00,0,0,77,52,239,65,249,72,180,77,90,52,54,46,1
07:00,0,0,110,73,489,149,528,169,440,164,168,60,77,37,1
08:00,0,0,98,61,735,345,854,334,738,330,276,162,118,74,1
09:00,0,0,178,87,762,457,822,479,765,482,436,275,246,108,1
10:00,0,0,418,245,1016,602,1070,750,1063,722,731,575,396,210,1
11:00,0,0,793,508,1367,876,1279,938,1703,1209,949,575,603,437,1
12:00,0,0,947,577,1624,1132,1627,1210,1967,1361,1331,852,672,528,1
13:00,0,0,927,559,1901,1249,2054,1319,2324,1550,1414,910,884,619,1
14:00,0,0,958,632,1704,1062,1720,1285,1636,1065,1413,957,944,648,1
15:00,0,0,927,657,1740,1167,1877,1276,1842,1237,1397,982,1008,653,1
16:00,0,0,966,566,1857,1136,1924,1241,1816,1148,1508,1021,967,708,1
17:00,0,0,986,675,1672,1025,1746,1117,1758,1178,1457,767,1041,580,1
18:00,0,0,763,513,1400,815,1490,841,1446,829,1191,607,806,542,1
19:00,0,0,737,386,966,473,1037,621,1019,547,1045,518,722,419,1
20:00,0,0,592,358,731,454,822,469,739,462,705,498,511,349,1
21:00,0,0,383,232,428,343,489,376,521,332,557,376,305,289,1
22:00,0,0,399,275,551,287,553,287,669,291,630,258,337,192,1
23:00,0,0,253,199,43,12,240,224,357,238,449,223,15,7,1
00:00,109,74,50,58,82,104,64,50,124,102,273,152,176,110,2
01:00,27,51,26,46,24,33,16,31,52,92,148,148,121,129,2
02:00,16,24,12,28,26,17,24,25,20,66,109,160,116,175,2
03:00,25,10,15,25,20,44,19,33,31,51,94,125,83,200,2
04:00,24,8,6,7,1,8,6,2,12,21,19,26,14,46,2
05:00,89,24,43,18,51,42,38,24,48,19,49,35,21,44,2
06:00,232,73,196,62,198,64,197,69,210,63,149,54,46,41,2
07:00,625,158,481,186,477,204,444,193,474,181,250,96,113,57,2
08:00,1012,501,1072,511,983,478,1032,479,946,507,338,160,131,68,2
09:00,922,560,959,566,878,506,885,575,924,500,488,303,259,135,2
10:00,966,713,1010,695,1045,731,1111,658,1052,754,830,540,426,243,2
11:00,1092,793,1071,710,1513,1234,1203,794,1470,1109,1098,761,612,456,2
12:00,1621,1129,1250,886,2173,1413,1440,1001,1483,1098,1354,812,832,624,2
13:00,1906,1373,2137,1414,3326,1994,1741,1085,2104,1233,1492,978,962,676,2
14:00,1570,978,1821,1146,2117,1354,1499,1016,1743,1068,1489,992,980,710,2
15:00,1602,1049,1502,949,1617,1040,1472,962,1787,1121,1638,1056,1061,679,2
16:00,1721,987,1588,1027,1579,961,1755,1008,1954,1182,1759,966,1147,726,2
17:00,1506,869,1615,1101,1655,1008,1516,949,2022,1013,1859,922,925,528,2
18:00,986,546,1308,793,1247,775,1258,807,1645,761,1398,729,986,535,2
19:00,714,478,833,528,856,537,1035,576,1337,615,1337,642,989,392,2
20:00,489,370,655,470,578,473,834,499,1023,550,817,459,587,387,2
21:00,418,267,344,290,403,266,540,297,693,346,717,380,377,220,2
22:00,439,204,366,200,416,209,564,267,961,277,843,321,503,205,2
23:00,217,143,13,16,237,177,346,191,638,400,615,481,221,303,2
00:00,125,144,72,90,90,71,52,52,86,109,119,80,335,207,3
01:00,66,82,34,27,25,53,39,57,56,42,124,107,177,121,3
02:00,37,64,16,21,23,42,26,35,15,62,91,102,112,163,3
03:00,25,26,8,30,14,32,28,41,16,33,81,145,65,183,3
04:00,13,6,14,12,16,42,34,20,23,18,47,46,16,23,3
05:00,61,26,24,12,19,10,92,24,22,5,45,30,25,57,3
06:00,207,83,194,67,176,75,308,65,107,31,130,45,64,37,3
07:00,420,139,500,175,477,213,662,237,285,100,174,54,64,53,3
08:00,698,379,1056,432,1159,494,1154,520,951,389,259,140,115,61,3
09:00,758,481,991,540,1071,579,1105,606,973,531,450,213,224,99,3
10:00,1060,765,897,613,890,742,1108,652,767,522,767,502,411,204,3
11:00,1333,985,1137,788,1234,720,1171,899,1012,685,969,594,605,446,3
12:00,1650,1177,1576,1055,1343,985,1432,952,1090,742,1314,907,801,509,3
13:00,1832,1332,1627,1088,1745,1081,1793,1206,1444,980,1347,888,794,499,3
14:00,1654,1099,1443,1036,1592,935,1524,1044,1273,757,1457,919,885,629,3
15:00,1758,1220,1431,932,1496,970,1574,1029,1391,851,1587,962,943,688,3
16:00,1697,1091,1686,939,1124,637,1663,1110,1496,926,1678,994,1093,707,3
17:00,1458,853,1619,1057,990,574,1593,970,1326,841,1586,775,1095,571,3
18:00,1148,586,1246,828,706,455,1095,743,1069,606,1286,693,860,484,3
19:00,917,460,888,591,696,447,846,494,923,426,1276,561,754,444,3
20:00,729,404,668,448,626,401,772,396,622,384,807,429,579,352,3
21:00,546,329,453,338,487,281,516,314,579,349,641,360,441,241,3
22:00,585,242,580,246,449,174,616,232,564,231,699,355,354,233,3
23:00,485,196,220,190,280,172,258,160,425,241,597,349,205,145,3
00:00,77,107,52,81,36,47,69,93,141,157,342,210,122,70,4
01:00,55,81,26,44,21,79,14,47,54,59,163,151,224,143,4
02:00,35,31,24,32,30,45,11,33,37,87,64,173,164,161,4
03:00,20,51,5,51,7,32,16,27,54,63,64,164,148,217,4
04:00,21,20,10,11,3,2,2,3,42,30,32,74,85,72,4
05:00,48,27,45,18,44,17,32,24,36,14,15,8,22,30,4
06:00,178,42,205,63,221,59,223,47,176,59,81,68,69,47,4
07:00,337,136,477,208,476,204,490,228,528,198,163,69,64,39,4
08:00,1130,435,1081,460,745,476,1021,442,993,472,346,164,125,72,4
09:00,1104,516,977,559,944,873,997,596,1015,601,577,323,306,102,4
10:00,1138,692,950,624,1040,644,1103,660,1017,756,907,620,430,271,4
11:00,1117,713,996,707,1008,734,1164,732,1272,850,1057,735,994,755,4
12:00,1235,859,1429,855,1436,957,1376,912,1783,1043,1243,825,1574,1001,4
13:00,1608,1069,1700,1195,1675,1085,1689,1100,1847,1218,1435,980,980,1679,4
14:00,1452,1002,1520,1005,1446,935,1430,968,1572,1027,1462,961,1001,1608,4
15:00,1438,944,1496,913,1444,965,1524,1017,1602,937,1610,1055,842,650,4
16:00,1570,921,1704,1068,1517,936,1713,1184,1682,1078,1648,1062,975,716,4
17:00,1615,1084,1633,1086,1594,1121,1760,1165,1254,761,1579,970,1004,569,4
18:00,1238,864,1377,779,1280,834,1407,998,671,458,1249,696,836,437,4
19:00,822,546,1021,751,981,686,1159,765,472,244,1312,655,853,593,4
20:00,605,358,668,393,663,474,854,564,556,249,926,501,916,545,4
21:00,425,293,443,289,529,348,581,371,576,303,742,343,373,269,4
22:00,429,243,547,194,520,275,693,287,746,287,887,344,377,246,4
23:00,236,177,220,165,260,162,345,231,40,29,564,285,20,22,4
00:00,59,127,60,66,65,96,67,68,82,77,278,163,229,185,5
01:00,39,71,25,45,39,62,27,19,48,75,138,123,84,103,5
02:00,19,24,13,30,19,44,22,42,27,52,83,141,107,127,5
03:00,12,39,13,44,22,33,22,39,33,57,71,159,40,89,5
04:00,20,21,5,8,14,25,23,12,7,46,35,65,28,42,5
05:00,39,11,44,17,75,19,57,29,43,19,30,12,19,33,5
06:00,181,68,195,60,208,77,159,64,211,68,130,41,98,45,5
07:00,497,225,501,198,530,202,444,196,488,194,167,92,87,66,5
08:00,1123,530,1180,493,1098,528,1224,552,988,506,327,175,134,115,5
09:00,1159,674,1265,741,1074,624,1086,599,1031,604,563,307,298,176,5
10:00,1193,732,1064,693,971,587,1102,655,1101,636,779,469,514,351,5
11:00,1133,799,1146,822,919,473,1057,705,1294,742,1526,940,740,474,5
12:00,1492,1045,1518,1064,1153,806,1748,1214,1535,964,2343,1582,862,608,5
13:00,1751,1275,1725,1285,1594,1065,1921,1413,1890,1234,2444,1450,935,634,5
14:00,1517,1026,1495,1073,1360,867,1560,944,1717,1064,1696,1090,1037,682,5
15:00,1422,914,1217,742,1402,913,1683,989,1698,1107,1266,931,952,673,5
16:00,1498,994,1555,877,1503,934,1641,1064,1632,1040,1595,1139,941,753,5
17:00,1530,1023,1543,1028,1685,1059,1659,1125,1810,1117,1606,1120,1051,651,5
18:00,1103,831,1277,797,1241,952,1373,889,1432,753,1331,851,959,505,5
19:00,778,557,984,698,974,805,985,622,978,704,1204,714,819,417,5
20:00,562,333,648,463,615,452,767,416,778,492,1055,396,690,338,5
21:00,489,352,566,329,578,370,573,343,672,320,1222,423,404,327,5
22:00,371,220,580,257,696,288,404,296,822,370,867,342,435,239,5
23:00,13,20,235,211,286,177,319,243,521,300,511,300,191,132,5
00:00,63,28,84,67,77,87,115,117,122,125,314,204,305,155,6
01:00,38,27,8,22,23,56,28,52,65,76,131,151,85,141,6
02:00,18,23,6,25,14,52,22,53,26,64,52,89,129,156,6
03:00,25,19,12,36,13,31,16,62,13,81,46,46,61,160,6
04:00,2,5,11,14,14,21,13,26,6,10,0,0,17,16,6
05:00,42,22,34,10,48,19,43,32,38,13,50,36,16,42,6
06:00,189,59,173,49,214,43,193,52,179,66,153,73,42,20,6
07:00,497,228,457,176,546,187,470,170,492,209,208,92,102,60,6
08:00,1108,557,1044,498,1170,572,1055,542,1033,501,305,104,213,85,6
09:00,1047,604,1063,539,1128,571,1116,630,989,597,524,301,447,174,6
10:00,1062,676,897,629,1109,652,1066,635,1061,708,958,482,622,305,6
11:00,1390,999,1183,784,1649,1131,1362,924,1204,793,1255,823,1077,554,6
12:00,1540,1078,1762,1230,2346,1656,1516,946,1533,1057,1536,932,1249,538,6
13:00,1749,1140,1575,1080,2806,1756,1545,1050,1725,1112,1652,935,1051,704,6
14:00,1583,980,1449,902,2560,1611,1509,971,1813,1117,1712,1080,918,555,6
15:00,1454,987,1571,958,1613,1080,1455,798,1838,1129,1559,1251,932,565,6
16:00,1488,886,1503,884,1796,1024,1832,1074,2020,1236,1706,1134,807,592,6
17:00,1460,1087,1456,861,2050,1195,1816,1048,1982,1177,1585,967,927,618,6
18:00,1197,805,1313,811,1842,872,1430,1054,1593,997,1435,902,589,341,6
19:00,696,458,865,741,1059,690,1038,759,1142,724,1374,797,620,374,6
20:00,518,351,625,409,578,424,879,438,1018,561,1034,560,541,261,6
21:00,337,214,474,333,464,332,608,326,769,444,918,430,546,335,6
22:00,327,180,503,223,623,569,815,305,819,343,898,412,475,287,6
23:00,206,113,180,154,299,269,325,221,485,337,707,328,220,209,6
00:00,127,125,53,70,116,115,140,123,216,151,366,267,432,242,7
01:00,52,79,30,20,32,65,59,52,39,74,137,181,164,221,7
02:00,29,48,12,25,15,27,22,54,47,96,134,177,114,227,7
03:00,23,49,15,45,41,52,17,58,36,84,69,231,91,226,7
04:00,12,25,30,19,1,5,32,49,3,6,29,43,14,40,7
05:00,49,19,39,10,73,21,21,12,51,30,34,33,28,35,7
06:00,264,81,272,69,191,69,219,65,191,78,125,49,59,51,7
07:00,562,247,572,239,564,209,525,191,486,177,151,75,92,41,7
08:00,1324,642,1177,592,1436,644,1084,531,945,476,409,225,158,81,7
09:00,1136,647,1070,593,1299,605,933,528,986,564,734,419,423,248,7
10:00,1266,852,1109,763,1154,717,1210,783,1227,752,1090,816,616,499,7
11:00,1361,947,1209,866,1187,869,1662,1083,1578,1041,1345,919,876,700,7
12:00,1619,1185,1460,1062,1573,1157,2044,1392,2237,1404,1664,1107,1321,969,7
13:00,1776,1209,1909,1272,1825,1266,2427,1710,2509,1636,2382,1353,2161,1392,7
14:00,1364,958,1557,1072,1671,1167,2548,1574,2214,1421,1779,1229,1683,1096,7
15:00,1563,955,1609,1158,1633,1151,1932,1374,1955,1286,1471,1035,1180,881,7
16:00,1520,1011,1831,1052,1778,1103,2075,1287,1974,1221,1699,1065,1230,781,7
17:00,1650,1150,1868,1223,1875,1138,1941,1351,1979,1264,1649,1065,1247,741,7
18:00,1406,1006,1532,1031,1589,999,1663,1290,1666,1068,1372,826,1107,730,7
19:00,872,552,1016,616,839,453,1315,839,1257,828,1234,781,866,516,7
20:00,614,351,698,504,734,447,1196,661,1017,649,983,559,832,438,7
21:00,464,326,643,341,600,348,811,492,808,470,859,421,479,347,7
22:00,480,280,555,320,507,267,824,366,816,406,919,365,426,305,7
23:00,302,154,313,214,358,240,441,269,640,349,724,339,225,226,7
00:00,91,88,69,85,95,99,103,93,100,166,272,312,345,185,8
01:00,32,58,38,45,32,52,25,54,59,59,108,193,108,129,8
02:00,10,30,19,31,13,65,23,45,12,89,76,193,148,177,8
03:00,11,26,17,26,22,45,12,46,6,45,59,149,162,176,8
04:00,4,2,3,7,17,44,0,2,15,31,45,55,9,20,8
05:00,43,11,44,26,49,18,46,23,40,26,26,37,22,32,8
06:00,211,78,201,61,194,51,175,61,207,47,119,63,74,38,8
07:00,464,206,540,190,537,213,529,197,486,215,193,89,79,39,8
08:00,1100,581,1152,554,1263,601,1100,571,1094,561,346,177,140,81,8
09:00,1177,673,1237,621,1250,661,1099,616,1082,656,654,388,372,200,8
10:00,1153,796,1194,783,1119,893,1271,748,1124,699,985,665,559,338,8
11:00,1678,1173,1696,1245,1410,982,1258,838,1512,875,1178,707,782,576,8
12:00,2403,1829,2416,1723,2021,1411,1652,1183,1582,1093,1413,849,831,589,8
13:00,2969,1954,2695,1830,2142,1418,1793,1330,1921,1261,1551,938,990,759,8
14:00,3159,1950,3023,1825,1643,1132,1774,1147,1884,1171,1606,995,1067,774,8
15:00,1876,1223,1859,1227,1507,1191,1662,1140,1832,1128,1547,961,1079,828,8
16:00,1765,1163,1737,1061,1575,968,1730,1034,1865,1151,1516,977,1257,916,8
17:00,1714,1221,1685,1169,1614,1112,1744,1213,1819,1383,1364,936,1178,683,8
