time,mon_in,mon_out,tue_in,tue_out,wed_in,wed_out,thu_in,thu_out,fri_in,fri_out,sat_in,sat_out,sun_in,sun_out,week_num
00:00,0,0,6,2,4,5,26,8,21,9,14,13,5,12,1
01:00,0,0,0,6,6,3,12,6,18,0,9,16,19,25,1
02:00,0,0,4,2,5,2,23,11,7,1,13,6,11,3,1
03:00,0,0,4,2,5,5,8,7,24,6,4,4,13,6,1
04:00,0,0,6,7,3,0,7,3,6,0,2,1,3,1,1
05:00,0,0,9,7,5,4,4,9,4,0,14,15,3,3,1
06:00,0,0,8,3,0,6,12,23,14,20,17,11,15,14,1
07:00,0,0,3,4,8,4,37,45,11,20,8,8,3,3,1
08:00,0,0,50,32,138,190,732,836,288,315,135,143,91,75,1
09:00,0,0,78,65,262,345,937,1269,480,613,333,331,279,256,1
10:00,0,0,195,108,352,405,939,1127,913,1034,901,887,496,459,1
11:00,0,0,346,254,553,530,1038,1027,1018,975,1050,1014,939,904,1
12:00,0,0,777,610,968,980,1826,1919,1841,2095,1600,1522,1309,1245,1
13:00,0,0,912,912,1679,1398,2863,2529,2576,2534,2251,2180,2243,2032,1
14:00,0,0,826,827,1161,1084,2118,1857,1997,1745,2662,2431,2064,2079,1
15:00,0,0,804,933,1184,1096,1466,1386,1933,1787,2111,2147,1588,1675,1
16:00,0,0,308,572,716,806,100,82,281,292,188,197,218,223,1
17:00,0,0,17,20,5,9,23,17,16,15,16,19,11,11,1
18:00,0,0,7,6,8,11,35,26,15,8,17,13,15,16,1
19:00,0,0,7,9,10,10,18,15,31,34,20,24,25,43,1
20:00,0,0,15,7,21,21,47,24,30,28,10,17,16,17,1
21:00,0,0,17,8,8,8,25,16,17,18,17,20,9,15,1
22:00,0,0,7,6,14,8,18,21,8,14,17,16,8,6,1
23:00,0,0,14,4,28,6,8,4,34,18,7,10,5,12,1
00:00,4,7,40,14,18,6,25,7,20,10,13,11,4,7,2
01:00,21,13,17,13,10,8,9,7,19,0,8,15,11,19,2
02:00,15,6,19,9,5,5,22,11,9,2,9,6,6,3,2
03:00,4,3,14,9,5,6,9,7,24,10,4,4,12,4,2
04:00,1,1,6,6,5,5,8,3,8,2,2,1,2,0,2
05:00,2,5,11,6,3,4,5,10,5,0,14,12,3,3,2
06:00,9,8,17,13,7,10,11,20,14,23,14,10,14,9,2
07:00,14,14,8,15,9,10,38,50,14,27,7,9,3,3,2
08:00,108,138,278,390,109,142,682,823,385,437,135,154,75,58,2
09:00,531,525,536,589,467,597,889,1273,543,742,289,291,248,212,2
10:00,796,794,733,775,791,992,876,1118,947,1143,824,818,438,395,2
11:00,1226,1195,1099,1080,921,938,979,1026,1061,1036,1048,1035,753,705,2
12:00,1729,1778,1629,1597,1545,1651,1705,1899,1939,2273,1501,1486,1123,1073,2
13:00,2116,2054,2477,2309,2166,2027,2689,2499,2771,2769,2054,2074,1812,1559,2
14:00,1846,1812,1675,1751,1880,1830,2003,1844,2141,1922,2480,2325,1698,1663,2
15:00,1288,1342,1846,1865,1665,1682,1398,1362,1926,1865,2011,2075,1187,1295,2
16:00,373,458,257,471,397,488,107,91,322,345,213,234,148,148,2
17:00,17,14,17,17,16,14,23,16,18,17,16,16,10,10,2
18:00,76,38,8,13,17,19,31,26,16,10,16,13,11,12,2
19:00,15,15,15,20,12,10,16,16,36,38,18,23,22,31,2
20:00,14,14,29,15,19,24,45,24,33,30,10,17,12,12,2
21:00,13,15,40,20,17,12,23,15,18,16,14,17,10,13,2
22:00,11,7,10,11,20,16,17,19,10,13,12,12,6,4,2
23:00,11,8,10,4,25,14,9,5,30,17,7,9,4,10,2
00:00,4,8,40,15,10,5,26,7,14,8,1,7,8,10,3
01:00,25,16,15,15,9,6,11,7,13,1,7,3,7,2,3
02:00,13,3,20,10,4,5,22,10,5,1,7,8,9,3,3
03:00,4,3,13,13,4,6,9,7,16,5,7,2,1,0,3
04:00,0,0,8,8,3,2,8,2,5,1,0,0,1,1,3
05:00,2,6,20,8,3,4,4,9,2,0,9,0,2,2,3
06:00,7,8,22,15,4,9,10,21,9,15,16,7,15,9,3
07:00,13,13,10,15,10,9,35,46,8,16,7,5,3,6,3
08:00,69,99,255,321,172,215,709,836,249,281,89,103,34,33,3
09:00,536,478,469,472,582,713,927,1297,367,501,254,215,123,129,3
10:00,856,804,714,668,937,1171,927,1153,665,801,333,374,188,272,3
11:00,1306,1266,1131,1015,1134,1130,1033,1057,749,733,554,596,349,295,3
12:00,1808,1843,1791,1633,1711,1796,1791,1952,1361,1596,840,851,598,581,3
